Year,Type,Country,Activity,Sex,Fatal,Sharks,Month
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2014,BOAT,USA,Kayaking,Male,NO,White shark,oct
2014,BOAT,USA,Kayaking ,Male,NO,White shark,oct
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2014,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,oct
2014,UNPROVOKED,FRENCH POLYNESIA,Feeding fish,Female,NO,Other sharks,sep
2014,UNPROVOKED,AUSTRALIA,Swimming,Male,YES,Other sharks,sep
2014,UNPROVOKED,USA,Fishing ,Male,NO,Other sharks,sep
2014,BOAT,USA,Kayaking ,Female,NO,White shark,sep
2014,PROVOKED,USA,Fishing,Male,NO,Other sharks,sep
2014,UNPROVOKED,USA,Body surfing,Female,NO,Other sharks,aug
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2014,UNPROVOKED,SPAIN,Swimming,Female,NO,Other sharks,aug
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,aug
2014,PROVOKED,USA,Fishing for sharks,Male,NO,Other sharks,aug
2014,UNPROVOKED,AUSTRALIA,Spearfishing,Male,NO,Other sharks,aug
2014,UNPROVOKED,USA,Standing,Male,NO,Other sharks,aug
2014,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,aug
2014,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,aug
2014,UNPROVOKED,USA,Boogie boarding,Male,NO,Other sharks,aug
2014,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,aug
2014,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jul
2014,UNPROVOKED,REUNION,Surfing,Male,NO,Other sharks,jul
2014,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jul
2014,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,jul
2014,PROVOKED,USA,Swimming,Male,NO,White shark,jul
2014,UNPROVOKED,USA,Body surfing,Male,NO,Other sharks,jul
2014,BOAT,ST. MARTIN,Transatlantic Rowing,Male,NO,White shark,jun
2014,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,jun
2014,PROVOKED,AUSTRALIA,Petting a shark,Male,NO,Other sharks,jun
2014,UNPROVOKED,USA,Standing,Male,NO,Other sharks,jun
2014,UNPROVOKED,AUSTRALIA,Body boarding,Male,NO,Other sharks,jun
2014,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,jun
2014,UNPROVOKED,USA,Tagging sharks,Female,NO,Other sharks,jun
2014,UNPROVOKED,AUSTRALIA,Fell into the water,Female,NO,Other sharks,may
2014,UNPROVOKED,FRANCE,Scuba diving,Male,NO,Other sharks,may
2014,PROVOKED,AUSTRALIA,Teasing a shark,Male,NO,Other sharks,may
2014,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,may
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,may
2014,UNPROVOKED,USA,Swimming,Female,NO,Other sharks,may
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,may
2014,UNPROVOKED,AUSTRALIA,Spearfishing,Male,NO,Other sharks,apr
2014,PROVOKED,SOUTH AFRICA,Fishing,Male,NO,Other sharks,apr
2014,UNPROVOKED,AUSTRALIA,Swimming,Female,YES,White shark,apr
2014,UNPROVOKED,SOUTH AFRICA,Swimming,Male,YES,Other sharks,mar
2014,UNPROVOKED,USA,Kite Surfing,Male,NO,Other sharks,mar
2014,UNPROVOKED,AUSTRALIA,Swimming,Male,NO,Other sharks,mar
2014,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,mar
2014,UNPROVOKED,FRENCH POLYNESIA,Kitesurfing,Male,NO,Other sharks,feb
2014,UNPROVOKED,NEW ZEALAND,Surfing,Male,NO,Other sharks,feb
2014,PROVOKED,AUSTRALIA,Fishing,Male,NO,Other sharks,jan
2014,UNPROVOKED,NEW ZEALAND,Spearfishing,Male,NO,Other sharks,jan
2013,UNPROVOKED,NEW CALEDONIA,Snorkeling,Male,NO,Other sharks,dec
2013,UNPROVOKED,SOUTH AFRICA,Surfing,Male,NO,White shark,dec
2013,UNPROVOKED,USA,Boogie boarding,Male,NO,Other sharks,dec
2013,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,dec
2013,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,dec
2013,UNPROVOKED,AUSTRALIA,Body boarding,Male,YES,Other sharks,nov
2013,UNPROVOKED,AUSTRALIA,Surfing,Male,YES,White shark,nov
2013,UNPROVOKED,USA,Surfing,Male,NO,White shark,nov
2013,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,White shark,nov
2013,UNPROVOKED,USA,Kiteboarding,Male,NO,Other sharks,oct
2013,UNPROVOKED,AUSTRALIA,Snorkeling,Female,NO,Other sharks,oct
2013,UNPROVOKED,REUNION,Body boarding,Male,NO,Other sharks,oct
2013,UNPROVOKED,AUSTRALIA,Diving for crayfish,Male,NO,White shark,oct
2013,UNPROVOKED,AUSTRALIA,Surfing,Male,NO,Other sharks,oct
2013,UNPROVOKED,USA,Diving ,Male,NO,White shark,oct
2013,UNPROVOKED,USA,Surfing,Male,NO,Other sharks,oct
2013,UNPROVOKED,USA,Wading,Male,NO,Other sharks,oct
2013,UNPROVOKED,SOUTH AFRICA,Swimming / snorkeling,Male,YES,White shark,oct
2013,UNPROVOKED,AUSTRALIA,Diving for Abalone,Male,NO,White shark,oct
2013,UNPROVOKED,USA,Surfing,Male,NO,White shark,oct
2013,UNPROVOKED,USA,Wading,Male,NO,Other sharks,oct
2013,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,sep
2013,UNPROVOKED,USA,Surfing,Female,NO,Other sharks,sep
2013,PROVOKED,USA,Surfing,Male,NO,Other sharks,sep
2013,UNPROVOKED,USA,Standing,Male,NO,Other sharks,sep
2013,UNPROVOKED,USA,Casting a net,Male,NO,Other sharks,sep
2013,UNPROVOKED,BAHAMAS,Spearfishing,Male,NO,Other sharks,aug
2013,UNPROVOKED,USA,Swimming,Male,NO,Other sharks,aug
2013,PROVOKED,FRANCE,Longline fishing for sharks,Male,NO,Other sharks,aug
2013,UNPROVOKED,USA,Surfing,Female,NO,White shark,aug
2013,UNPROVOKED,USA,Snorkeling,Female,YES,Other sharks,aug
